MaPhieuDG,MaHD,DiemPhucVu,DiemViTri,DiemMonAn,DiemKhongGian,DiemGiaCa
100,263835,4,5,3,2,3
101,232994,4,2,5,3,5
102,244214,2,2,3,4,3
103,150342,5,3,3,4,2
104,6668,5,3,3,2,4
105,280876,4,3,4,2,3
106,299624,3,2,4,3,4
107,210619,3,2,5,4,4
108,78161,2,4,3,5,2
109,87253,5,5,3,4,5
110,114287,2,4,5,4,5
111,106667,4,5,4,4,4
112,20243,3,5,5,4,5
113,156990,4,4,2,5,3
114,159730,2,2,5,3,2
115,78040,4,2,4,5,3
116,222969,5,5,3,5,4
117,92460,2,4,5,2,5
118,150055,2,5,2,4,2
119,69768,2,3,3,3,4
120,198967,5,2,5,3,4
121,163741,5,2,4,2,2
122,112914,5,5,5,3,4
123,281543,2,2,4,3,3
124,120877,4,5,4,3,5
125,280545,2,5,3,3,3
126,189211,2,2,3,2,4
127,62519,5,2,5,4,2
128,90310,5,3,2,5,5
129,54004,5,5,2,3,3
130,258911,2,4,2,5,2
131,173180,3,4,2,2,5
132,177094,5,5,4,3,2
133,5356,2,5,3,5,3
134,83249,2,2,4,4,2
135,69936,5,4,4,2,5
136,208470,3,4,3,5,2
137,21666,3,5,5,5,4
138,62959,4,3,5,3,2
139,39263,5,5,4,2,3
140,76567,5,3,5,5,2
141,82648,2,4,2,3,3
142,294275,4,3,2,4,2
143,78635,3,5,5,4,3
144,90028,4,5,4,5,3
145,141895,4,2,5,4,5
146,166715,4,3,3,4,5
147,103060,5,5,4,3,4
148,187049,4,2,2,5,2
149,214424,3,5,4,3,5
150,218126,5,5,3,2,5
151,285816,5,5,2,5,5
152,207296,5,2,2,2,4
153,193782,2,4,4,2,3
154,95678,2,3,2,4,5
155,17605,2,4,2,4,3
156,187489,5,5,3,2,3
157,114637,4,2,2,2,4
158,85385,3,4,3,4,3
159,275891,3,3,3,5,5
160,95157,2,4,5,3,4
161,209559,5,3,3,5,5
162,266852,5,3,2,4,4
163,109746,2,3,3,2,3
164,135234,4,4,3,2,3
165,275979,5,4,3,3,4
166,255894,3,5,4,3,5
167,114455,4,2,4,5,2
168,123490,4,4,2,4,3
169,69875,5,5,4,2,5
170,11804,4,5,5,4,5
171,42350,2,2,3,3,4
172,244723,5,4,2,3,4
173,11997,3,2,2,3,5
174,219360,2,5,4,5,4
175,202725,4,4,3,2,3
176,27757,2,4,2,5,2
177,45127,3,2,3,4,5
178,239026,5,2,2,2,3
179,146224,4,5,3,5,5
180,36170,4,4,2,3,3
181,243261,4,2,2,5,3
182,265322,2,3,4,4,2
183,59966,4,3,4,5,2
184,273838,3,5,2,4,2
185,108556,4,5,2,5,4
186,111419,5,3,2,3,3
187,19081,5,3,2,5,2
188,206310,5,3,5,4,3
189,266829,4,4,5,2,4
190,279705,5,2,4,2,5
191,117861,4,5,3,5,5
192,52125,5,2,2,4,5
193,17860,2,4,2,4,4
194,273678,2,2,3,2,4
195,159258,3,4,5,5,3
196,153575,4,4,4,3,5
197,53500,3,5,5,5,2
198,266354,5,3,2,2,3
199,223531,5,3,5,2,4
200,166931,5,4,2,5,5
201,26961,5,5,5,2,2
202,96866,3,3,4,5,4
203,20735,3,2,5,3,3
204,109496,4,2,4,4,3
205,100520,5,3,3,3,5
206,243095,4,4,2,3,5
207,98482,3,2,3,5,4
208,17056,5,4,3,4,5
209,27087,2,4,3,2,2
210,22177,5,3,3,5,2
211,81110,5,2,3,3,2
212,26305,3,4,2,5,4
213,193168,5,4,5,5,4
214,282586,3,5,4,5,5
215,194170,3,3,4,5,2
216,114574,2,5,2,5,3
217,230506,4,5,3,4,2
218,78356,4,5,4,2,3
219,280784,2,4,5,5,2
220,126073,5,4,3,5,2
221,248290,3,5,2,5,2
222,26791,3,2,4,4,4
223,216386,2,3,4,3,3
224,50247,3,3,5,2,5
225,252539,4,2,4,5,3
226,239785,2,2,4,3,5
227,238419,4,3,3,5,5
228,98588,3,2,2,3,3
229,160330,2,2,4,3,4
230,229972,2,4,5,4,2
231,284571,5,3,2,4,5
232,67171,2,2,5,4,4
233,187126,3,5,5,4,4
234,77439,2,3,5,2,2
235,226501,5,5,4,3,2
236,158019,5,4,3,5,4
237,216146,2,5,3,3,3
238,65886,5,4,2,2,5
239,267031,3,3,2,5,4
240,99962,3,5,3,5,2
241,118274,2,4,3,2,3
242,102093,5,3,5,2,4
243,284614,5,2,2,4,2
244,89977,3,3,5,5,2
245,236652,3,2,4,2,2
246,120940,2,4,4,3,5
247,78533,3,4,2,2,2
248,198312,4,5,3,3,3
249,268082,3,5,2,2,2
250,21772,5,5,3,3,4
251,134868,5,4,3,2,3
252,5350,5,3,5,5,5
253,211798,2,3,3,2,5
254,56346,5,3,4,2,2
255,111276,3,2,2,3,5
256,227441,2,4,4,4,3
257,2646,5,4,2,3,2
258,113239,5,4,4,2,3
259,202462,5,4,2,2,5
260,280001,4,3,4,4,2
261,216341,4,3,5,2,5
262,58490,3,4,4,4,3
263,257517,5,4,4,5,5
264,41307,5,4,3,2,3
265,269828,3,2,2,4,3
266,128235,3,4,2,4,2
267,198108,3,3,2,2,2
268,72224,5,4,5,3,4
269,233332,3,2,5,3,2
270,207286,5,5,4,3,2
271,298875,3,2,3,2,4
272,157918,5,3,5,2,2
273,203223,5,2,4,4,2
274,16334,3,5,3,4,3
275,176205,3,3,5,2,5
276,222414,3,5,5,4,2
277,2030,4,5,4,4,4
278,210089,2,3,2,2,4
279,25989,3,5,5,3,3
280,42705,5,2,2,4,4
281,29369,3,2,2,3,4
282,183663,4,2,3,4,4
283,73846,4,4,2,4,2
284,61879,2,5,2,4,4
285,98472,5,4,4,3,5
286,180681,2,5,5,2,2
287,36925,4,4,3,4,5
288,181083,3,2,2,5,4
289,197225,2,3,2,5,5
290,263074,4,4,4,5,5
291,151246,2,2,5,4,5
292,210028,4,4,5,2,4
293,33626,5,4,2,4,4
294,156858,3,3,2,5,2
295,213795,5,4,2,4,4
296,180405,5,3,5,5,2
297,133501,3,4,3,2,3
298,282138,3,2,2,2,5
299,284384,4,5,3,4,5
300,128141,4,3,2,3,2
301,249292,2,4,2,5,5
302,26111,5,4,2,4,4
303,65959,2,5,4,3,3
304,102727,5,2,3,2,2
305,143265,5,5,4,5,2
306,80721,5,4,3,5,4
307,208717,3,4,4,3,4
308,267372,3,3,3,5,3
309,93519,5,3,2,2,4
310,269930,3,2,3,4,2
311,208459,5,3,5,4,3
312,227232,2,4,3,4,2
313,221738,5,2,2,4,2
314,221474,2,5,4,4,3
315,14580,2,5,4,2,3
316,267325,2,5,2,3,5
317,241891,3,3,2,3,4
318,242790,4,2,2,2,4
319,99863,5,3,2,3,5
320,106511,3,4,4,3,5
321,40145,3,2,4,2,2
322,114231,5,3,4,2,2
323,167119,2,4,5,2,3
324,64854,3,4,3,2,4
325,158853,5,2,3,2,3
326,293091,2,5,5,2,3
327,288958,4,5,3,3,2
328,174411,2,2,4,4,4
329,138891,2,2,5,3,5
330,257704,4,4,5,2,4
331,219158,2,5,3,5,5
332,116920,3,3,3,5,4
333,60495,5,5,2,5,3
334,93793,4,5,4,4,4
335,231787,5,2,4,3,3
336,119353,4,5,5,4,2
337,241637,4,5,5,3,5
338,251687,5,5,2,2,3
339,13468,2,5,4,5,2
340,92901,4,5,4,3,2
341,43282,3,3,3,5,2
342,16025,4,3,4,3,4
343,248078,5,5,3,3,4
344,248403,4,5,2,4,5
345,82925,4,4,4,5,5
346,137467,5,4,5,3,3
347,127788,3,3,4,2,2
348,220492,2,3,2,4,5
349,54713,4,4,3,3,4
350,293167,5,4,2,5,2
351,249284,2,2,3,2,2
352,240534,2,5,3,4,2
353,186536,2,3,2,2,4
354,95549,4,4,4,5,5
355,271624,3,2,3,3,2
356,88260,4,5,2,5,3
357,291538,5,4,4,3,3
358,286771,2,5,4,3,5
359,133769,3,4,2,2,5
360,255792,2,5,4,2,2
361,161578,4,5,5,3,4
362,99371,3,5,3,2,2
363,56546,3,2,4,5,4
364,62002,4,3,3,5,3
365,263539,5,5,4,2,5
366,192591,3,2,2,2,3
367,103804,4,4,3,3,5
368,124320,5,3,5,3,2
369,224485,3,3,2,3,4
370,160749,4,5,3,3,2
371,254239,3,4,2,3,3
372,441,2,4,3,2,4
373,72204,5,4,5,2,5
374,292217,4,2,5,2,4
375,82033,2,4,5,3,4
376,132699,2,3,2,5,5
377,230110,3,3,3,2,4
378,269923,2,3,5,5,5
379,226082,2,4,4,5,4
380,7671,3,2,4,3,5
381,134969,2,5,2,3,4
382,9892,4,5,5,2,2
383,171689,5,5,5,4,3
384,155825,3,5,3,5,5
385,77338,4,3,4,3,4
386,124430,3,5,4,5,5
387,189183,3,4,3,5,3
388,298173,2,2,2,4,4
389,226499,3,4,2,5,4
390,162245,5,2,3,2,5
391,34645,4,2,3,5,4
392,289744,5,3,5,3,2
393,136242,2,3,2,2,4
394,221088,5,3,4,2,5
395,203339,3,2,2,4,4
396,37464,3,2,4,5,5
397,192536,2,5,4,4,2
398,52139,2,3,3,2,3
399,177033,4,3,3,2,3
400,226765,3,4,2,4,2
401,46345,3,2,2,5,2
402,100577,2,3,5,4,4
403,127757,5,2,4,3,5
404,48180,3,3,4,2,2
405,166690,4,2,2,2,4
406,149957,2,3,5,4,2
407,169390,4,4,5,2,2
408,29688,5,2,3,2,2
409,99462,4,4,5,2,3
410,109849,3,3,5,4,2
411,247041,2,2,2,5,4
412,94372,5,5,5,2,4
413,249867,3,3,3,5,2
414,4073,4,5,2,4,5
415,21187,3,2,4,2,3
416,233702,3,2,2,4,2
417,55518,5,5,4,3,2
418,128351,2,4,2,3,2
419,299540,2,4,2,5,2
420,112757,5,5,2,5,4
421,47752,3,3,5,3,4
422,88031,5,4,2,4,5
423,231046,2,4,2,5,4
424,63000,4,3,5,3,4
425,280515,3,4,5,4,4
426,114762,4,3,4,4,4
427,87128,2,4,5,4,5
428,163609,4,4,4,4,3
429,105883,4,4,2,5,3
430,68061,4,4,2,3,4
431,135130,4,4,2,5,3
432,46962,5,4,2,2,2
433,140262,3,3,5,4,2
434,69066,4,5,3,4,5
435,136518,3,4,5,2,4
436,160976,2,3,2,3,5
437,53932,5,2,3,5,5
438,159804,2,5,5,4,3
439,51569,4,2,2,2,2
440,21963,2,2,5,4,2
441,154082,4,5,2,5,3
442,284658,5,4,3,4,3
443,86473,4,5,4,5,4
444,94509,5,2,5,2,4
445,95357,5,2,3,2,5
446,169350,3,2,5,5,5
447,10993,3,4,5,4,5
448,48406,5,3,5,5,3
449,142533,3,2,3,4,4
450,193631,4,4,4,5,4
451,68995,2,5,5,4,3
452,97715,5,4,4,2,2
453,291999,4,5,4,4,2
454,125510,4,2,5,5,3
455,12817,2,4,5,5,3
456,222845,3,2,3,5,3
457,91376,3,3,3,2,5
458,252014,4,2,2,4,4
459,44023,5,3,4,2,3
460,157899,3,3,5,4,2
461,176060,4,3,3,4,5
462,57311,2,2,3,5,4
463,144969,2,2,4,3,2
464,78054,2,5,5,2,4
465,282247,2,2,3,4,4
466,111314,4,3,5,4,2
467,97057,3,2,5,3,3
468,93784,3,2,5,4,2
469,28157,2,2,3,5,5
470,107211,2,5,3,2,3
471,7205,5,2,3,2,2
472,192881,5,5,2,5,4
473,70770,3,3,2,5,3
474,240174,2,2,2,4,2
475,183118,4,2,4,3,5
476,159977,5,2,3,4,5
477,205206,3,5,5,2,2
478,204201,2,4,2,2,3
479,56398,5,4,3,3,2
480,147248,3,2,4,5,3
481,41236,5,4,2,5,5
482,245970,3,3,4,4,3
483,201719,2,4,5,3,2
484,223603,4,2,2,3,4
485,94243,2,3,2,4,4
486,81804,5,3,5,5,3
487,183316,3,3,5,2,5
488,34303,3,2,3,5,4
489,201790,4,5,4,5,2
490,242080,4,4,4,3,5
491,30017,5,5,5,5,4
492,294104,2,2,4,5,3
493,97205,3,2,3,4,4
494,163105,5,5,2,5,2
495,157386,2,3,4,4,5
496,78378,4,2,2,3,2
497,297856,3,2,4,2,5
498,126744,4,3,4,4,4
499,84612,5,3,2,4,3
500,155838,3,2,3,3,5
501,74410,2,5,2,3,3
502,193453,4,4,2,5,4
503,151857,5,4,5,5,2
504,281755,5,4,3,4,3
505,51102,3,5,3,5,4
506,245010,4,5,4,2,2
507,175353,4,2,3,5,5
508,259007,2,2,3,3,4
509,234488,4,3,2,4,3
510,157984,5,4,5,3,5
511,250502,3,2,2,4,3
512,201116,2,4,4,5,3
513,70092,4,4,5,2,4
514,85198,2,3,2,2,3
515,278600,2,5,5,4,5
516,274033,4,2,2,3,3
517,246735,3,3,5,4,5
518,201449,4,3,4,5,2
519,2240,4,5,3,4,2
520,43513,4,3,2,5,4
521,285479,5,5,4,4,4
522,291207,5,5,4,4,4
523,167062,3,3,2,5,5
524,261758,4,3,2,2,2
525,31894,5,5,2,5,5
526,244573,5,3,4,4,5
527,298597,4,2,2,2,3
528,670,5,5,3,2,2
529,191641,4,2,2,3,3
530,59002,3,4,4,3,3
531,6829,5,2,4,3,4
532,81198,4,2,3,4,2
533,206285,4,4,4,5,4
534,104233,5,3,5,2,5
535,118013,3,3,3,3,4
536,202524,5,3,5,5,5
537,81596,5,4,2,2,3
538,297461,2,4,5,4,5
539,197703,2,5,2,5,4
540,249174,4,3,4,4,2
541,8679,4,3,4,4,3
542,246730,5,3,2,4,5
543,163662,2,5,4,4,5
544,270065,3,2,3,2,4
545,182384,2,4,2,3,3
546,60827,4,4,2,5,2
547,122896,3,2,3,3,2
548,71266,2,5,3,3,3
549,62626,5,2,4,5,3
550,182615,5,4,2,3,3
551,103995,5,3,2,3,4
552,172008,5,3,2,4,4
553,267321,5,4,4,5,2
554,21681,3,3,5,2,2
555,159113,3,3,3,4,2
556,298234,5,3,5,5,4
557,261061,5,2,3,5,3
558,140267,4,4,3,5,5
559,128735,5,2,3,4,2
560,12119,3,5,5,4,4
561,36399,2,5,5,3,3
562,268533,3,4,5,3,4
563,286348,3,2,4,2,5
564,1059,4,4,4,5,2
565,291805,4,2,3,5,2
566,280551,2,5,4,2,4
567,237330,4,5,4,4,5
568,15016,2,2,5,5,4
569,59038,4,4,2,2,3
570,48151,2,5,5,4,2
571,120594,4,2,4,5,4
572,72454,3,3,3,3,5
573,124293,5,3,5,2,3
574,130854,5,2,4,2,5
575,256712,4,2,5,3,5
576,226726,4,2,5,3,3
577,52818,4,4,5,3,5
578,88788,2,5,3,5,4
579,86064,2,4,2,2,2
580,248437,2,3,4,5,5
581,251664,3,5,3,4,2
582,148004,4,4,5,4,4
583,153763,3,5,4,3,3
584,51913,2,2,2,2,4
585,221672,3,2,4,5,4
586,31061,2,5,3,2,5
587,32899,4,2,3,2,3
588,260493,3,4,4,5,5
589,171250,5,3,3,5,2
590,213370,4,3,2,2,2
591,105138,3,2,4,2,2
592,132399,4,2,4,3,5
593,222741,5,4,2,5,5
594,247989,4,2,5,3,2
595,117039,3,3,2,2,3
596,251671,5,5,5,2,2
597,188191,4,2,3,2,3
598,48425,5,2,4,3,2
599,5268,2,4,3,2,3
600,234533,3,3,2,5,5
601,137059,2,4,4,3,2
602,43979,2,2,4,3,4
603,168295,2,3,4,2,2
604,110387,5,2,2,5,5
605,133337,2,4,4,2,3
606,156863,3,3,4,3,5
607,269358,5,4,5,4,3
608,251743,2,3,3,3,2
609,33976,5,3,3,2,2
610,181459,3,3,3,2,5
611,83146,3,4,5,4,4
612,168620,2,2,4,5,4
613,37623,2,2,2,3,2
614,137083,2,3,5,3,5
615,297515,3,4,4,4,5
616,52938,3,5,2,4,3
617,291941,4,3,3,3,2
618,107457,4,3,3,2,4
619,214864,2,4,5,3,3
620,62018,3,2,4,3,2
621,236921,5,4,5,4,5
622,68733,3,5,2,4,3
623,165996,5,4,5,5,4
624,237325,2,5,2,3,3
625,283576,4,5,2,2,4
626,1809,4,3,3,4,4
627,191256,2,3,2,5,4
628,128130,2,5,4,4,5
629,195054,2,3,3,3,5
630,190807,3,2,5,2,5
631,4402,3,4,3,5,3
632,38750,4,2,4,5,5
633,197397,5,4,2,4,5
634,150436,3,5,2,5,4
635,264748,4,2,5,2,5
636,210797,2,3,3,3,4
637,270198,3,2,3,2,5
638,43377,2,2,2,5,5
639,71316,4,3,5,5,2
640,210206,5,5,2,4,2
641,6955,3,2,2,3,3
642,71153,5,3,3,3,3
643,75730,5,3,3,5,3
644,157760,4,2,3,4,2
645,102933,4,3,2,2,4
646,143053,2,5,4,5,4
647,174824,4,3,4,2,3
648,248235,4,2,5,4,4
649,289145,4,3,5,2,3
650,31824,4,4,2,2,5
651,157311,4,5,3,2,4
652,115211,2,2,4,5,3
653,70692,4,5,5,3,4
654,208288,3,4,5,4,3
655,165453,5,3,4,2,5
656,243106,5,3,3,2,2
657,129972,4,3,2,3,5
658,274241,4,2,3,3,4
659,258400,2,3,5,3,2
660,103116,5,2,2,5,3
661,15296,4,4,2,4,2
662,243197,3,4,4,3,5
663,150184,2,3,3,2,2
664,55318,3,5,4,5,3
665,61330,4,3,5,3,2
666,291492,5,3,3,2,5
667,233417,5,4,5,3,3
668,248935,4,5,4,3,4
669,17561,4,2,3,5,4
670,187601,4,2,3,3,5
671,155082,2,4,4,5,3
672,213041,4,3,4,2,2
673,251326,3,3,5,3,4
674,3194,5,4,4,4,3
675,20778,5,5,2,5,3
676,266407,3,3,4,4,2
677,291802,3,3,2,4,3
678,78057,3,3,3,4,2
679,141054,2,2,5,3,2
680,55744,3,4,5,4,2
681,273287,5,4,2,4,4
682,61598,3,3,3,5,5
683,179683,2,4,2,3,5
684,22677,5,2,2,3,5
685,75547,4,2,3,5,2
686,46911,2,4,5,5,2
687,235220,5,5,3,4,5
688,68051,2,3,4,4,3
689,87758,5,3,3,2,3
690,64940,3,5,2,4,3
691,42117,4,3,3,3,4
692,166826,4,4,4,4,5
693,119361,3,5,2,4,5
694,113297,4,2,4,5,2
695,112134,3,5,4,4,5
696,234029,4,4,2,5,5
697,4871,2,2,5,4,3
698,244400,4,3,4,3,3
699,131764,4,5,3,2,2
700,25542,5,2,2,4,4
701,78335,3,2,3,2,4
702,175716,4,5,3,4,4
703,2104,4,2,5,4,3
704,107370,4,3,4,2,4
705,2543,2,3,2,3,4
706,48044,4,3,4,4,3
707,291282,3,5,2,3,2
708,150384,5,2,3,3,4
709,39857,3,3,4,2,5
710,158581,5,3,5,2,5
711,6387,2,5,5,2,2
712,129209,5,3,2,3,3
713,188022,2,2,2,5,3
714,198631,2,2,4,5,5
715,268385,2,2,2,2,5
716,160461,4,5,2,4,3
717,137177,3,4,3,4,5
718,80531,2,2,4,4,2
719,196380,2,5,3,5,4
720,262918,2,4,2,4,5
721,120217,4,2,3,2,5
722,160067,4,4,3,3,4
723,248638,3,3,4,2,3
724,16791,5,4,4,3,4
725,48580,2,4,3,3,5
726,248215,4,4,5,2,4
727,215850,2,4,4,4,3
728,39722,3,2,5,3,3
729,97332,2,2,2,3,5
730,228768,3,3,4,5,3
731,123922,3,5,4,5,2
732,271340,4,2,3,4,4
733,230596,5,3,5,4,4
734,234046,2,4,2,3,3
735,18313,3,2,4,2,5
736,185283,3,3,3,4,3
737,94257,2,3,3,2,2
738,92047,5,3,3,2,4
739,221710,2,3,5,5,2
740,18032,2,5,2,4,5
741,289447,3,3,5,2,3
742,145849,4,2,2,4,2
743,137922,3,2,3,5,5
744,204334,5,5,2,2,3
745,129103,2,2,5,2,5
746,68379,3,3,5,2,5
747,33514,5,5,2,2,3
748,25848,3,4,3,3,3
749,61542,5,5,3,5,5
750,2211,3,2,3,5,2
751,199938,2,2,3,2,5
752,212753,4,2,3,4,3
753,258812,4,3,2,4,2
754,159672,5,5,3,4,4
755,43376,2,2,5,2,5
756,26147,5,3,5,2,2
757,5366,2,4,5,3,2
758,14549,3,3,4,3,2
759,234451,4,4,3,4,2
760,57096,4,5,5,2,5
761,116478,5,4,4,3,3
762,97997,3,3,5,5,3
763,20543,3,5,2,5,5
764,12714,5,3,4,3,2
765,142077,4,4,3,2,4
766,187907,4,5,2,3,4
767,53699,4,4,2,4,4
768,204448,3,4,3,2,3
769,178932,3,4,3,2,2
770,114484,5,5,2,3,2
771,253195,3,2,3,5,3
772,112817,4,2,4,5,3
773,14171,5,2,4,3,3
774,281223,2,4,4,3,4
775,94794,3,5,3,5,3
776,27099,2,5,5,4,3
777,276790,4,2,4,2,2
778,252928,2,3,5,4,4
779,192607,2,3,5,3,5
780,110889,4,2,3,4,4
781,171062,5,2,4,5,5
782,13644,5,4,5,5,5
783,109587,3,5,4,2,3
784,252489,4,5,5,2,4
785,237965,4,2,4,5,5
786,282202,3,3,4,3,5
787,8009,3,4,4,4,3
788,170595,5,3,4,4,2
789,240606,4,4,2,5,4
790,54277,3,5,2,2,4
791,231139,3,5,3,3,4
792,18519,3,2,2,2,4
793,151487,4,4,5,3,4
794,148508,2,3,3,3,2
795,188019,2,2,5,5,2
796,231820,3,4,5,3,4
797,5696,4,4,4,2,4
798,62763,3,5,4,2,4
799,19535,4,2,5,3,5
800,11828,4,2,3,2,3
801,211479,2,5,3,4,2
802,135252,2,5,3,3,3
803,285451,5,3,5,3,2
804,173876,3,2,4,4,2
805,63891,2,2,4,2,4
806,278051,3,4,5,2,2
807,63242,4,2,5,2,5
808,206258,4,5,4,3,5
809,210675,3,4,4,2,2
810,69107,3,2,5,4,4
811,42093,2,4,5,3,4
812,79133,2,5,4,4,2
813,94404,3,3,4,3,3
814,265321,2,3,5,4,4
815,63156,3,3,5,3,2
816,210718,2,2,2,5,4
817,10336,5,3,3,3,3
818,116765,3,4,5,5,2
819,44244,4,3,5,2,4
820,299374,5,5,4,3,5
821,293298,5,4,4,4,4
822,109869,4,3,5,3,3
823,173152,3,2,3,3,3
824,243137,4,2,5,5,2
825,51696,3,3,5,4,2
826,71034,4,2,3,2,3
827,30521,4,4,4,3,5
828,51443,5,3,3,2,3
829,176973,4,3,3,2,3
830,186517,4,3,4,3,5
831,109483,3,4,5,3,4
832,34907,4,5,4,5,3
833,4707,5,5,3,3,4
834,278579,4,2,5,2,3
835,194137,4,4,4,3,5
836,271244,4,4,3,4,2
837,18294,4,5,4,5,2
838,207525,4,2,2,3,3
839,197302,5,4,2,2,4
840,188883,3,5,4,5,4
841,285179,3,2,3,4,2
842,142931,5,4,4,5,5
843,127892,3,2,2,4,4
844,298958,4,2,2,4,3
845,181877,3,2,2,2,4
846,266627,2,2,4,5,4
847,274943,2,5,2,4,3
848,142372,3,3,4,4,3
849,124632,3,3,4,2,4
850,144413,5,2,4,2,4
851,274227,5,5,3,2,3
852,13925,4,4,3,5,4
853,209031,2,3,4,4,5
854,186204,4,2,2,4,5
855,267540,3,5,5,3,3
856,261617,2,5,3,5,4
857,174081,4,2,2,2,4
858,256216,2,3,4,4,2
859,270126,3,4,5,5,5
860,173044,3,3,3,5,4
861,136448,5,4,5,3,5
862,128185,3,4,5,4,4
863,63659,3,4,3,4,4
864,266285,4,5,2,4,3
865,270478,5,4,4,4,5
866,133321,2,4,3,5,5
867,100671,5,5,3,4,4
868,222337,3,5,4,2,2
869,240960,3,2,4,2,4
870,181332,4,5,4,2,3
871,242874,5,4,2,3,5
872,191585,3,3,3,4,3
873,264280,5,3,5,3,4
874,187719,5,2,2,4,3
875,145729,3,4,3,3,2
876,195335,5,2,2,5,3
877,167688,3,5,5,2,3
878,115921,2,5,4,3,5
879,299109,3,4,3,4,3
880,285110,4,4,4,2,4
881,193199,5,5,3,5,5
882,140483,3,3,2,4,5
883,93755,5,5,4,3,5
884,103105,3,2,2,3,3
885,150846,3,4,3,4,2
886,128210,5,2,4,3,3
887,276595,3,5,4,4,5
888,296921,4,3,2,5,3
889,114633,3,3,2,3,4
890,253234,5,2,3,4,5
891,272748,4,3,4,2,3
892,227026,3,4,4,5,2
893,21916,2,4,4,2,5
894,34036,3,5,3,2,4
895,245605,4,2,2,5,4
896,127840,2,2,4,3,5
897,134086,2,2,4,4,5
898,174432,4,4,2,4,4
899,181396,4,2,5,3,4
900,17630,2,2,5,4,3
901,182392,5,5,4,5,2
902,108482,5,5,2,4,5
903,267046,4,3,5,5,2
904,175226,2,3,4,4,3
905,90297,3,3,3,5,2
906,71967,3,2,2,2,2
907,235723,3,4,5,5,5
908,280412,3,2,2,3,2
909,231165,4,4,3,5,4
910,103111,3,4,5,2,4
911,219586,2,4,3,3,2
912,99257,4,2,5,4,5
913,213804,2,3,4,5,3
914,212859,3,3,2,2,3
915,55149,5,4,4,2,3
916,263178,5,2,4,5,5
917,78222,3,5,4,2,5
918,52973,4,2,4,3,4
919,67996,4,2,2,5,3
920,164732,5,2,5,4,3
921,213435,5,2,3,3,2
922,84085,2,4,2,5,5
923,140946,5,5,3,3,4
924,138282,5,2,3,3,2
925,179638,5,5,3,2,3
926,238896,2,3,3,2,3
